iter	Logloss
0	0.5856212158
1	0.5182838135
2	0.4696229248
3	0.4361144104
4	0.4122023926
5	0.392858551
6	0.3818561401
7	0.3716538696
8	0.3662839966
9	0.3600174561
10	0.3559675598
11	0.3522307739
12	0.3496484985
13	0.3479871216
14	0.3458970947
15	0.3439952393
16	0.3422678223
17	0.3416747742
18	0.3400085754
19	0.3389271545
20	0.3377027588
21	0.3368799133
22	0.3357321167
23	0.3347816467
24	0.3339250488
25	0.3332191162
26	0.3327814331
27	0.3319378662
28	0.3311584473
29	0.3307057495
30	0.3302793579
31	0.3298965759
32	0.3292543335
33	0.328354126
34	0.3278519897
35	0.3273383484
36	0.3266253662
37	0.3260077515
38	0.3253687134
39	0.3249544067
40	0.3241752319
41	0.3234465332
42	0.3228329773
43	0.322242157
44	0.3217359009
45	0.3208974304
46	0.3204998169
47	0.3200489197
48	0.3196514893
49	0.3190194092
50	0.3187363586
51	0.3178065796
52	0.3175427856
53	0.3168598022
54	0.3163789673
55	0.3163179932
56	0.3159210815
57	0.3154158936
58	0.3149445801
59	0.3142866211
60	0.3139190674
61	0.3134058838
62	0.313302063
63	0.3132430725
64	0.3128437195
65	0.3118265381
66	0.3114486084
67	0.3111494751
68	0.3106952515
69	0.3101876831
70	0.3095532227
71	0.3089546204
72	0.3085795593
73	0.3082040405
74	0.3078640137
75	0.3076746826
76	0.3073996277
77	0.3071870422
78	0.3067410583
79	0.3062303467
80	0.3058618469
81	0.3055232544
82	0.3053353271
83	0.3050898437
84	0.3047349854
85	0.3044119873
86	0.3044086914
87	0.303891449
88	0.3035248718
89	0.3029542847
90	0.3021472168
91	0.3014966431
92	0.3011231079
93	0.3009353027
94	0.300927124
95	0.3007741089
96	0.300534729
97	0.3000627441
98	0.299517395
99	0.2990908508
