iter	Passed	Remaining
0	152	15082
1	156	7662
2	159	5156
3	162	3904
4	166	3164
5	169	2649
6	171	2276
7	174	2008
8	177	1798
9	180	1626
10	183	1486
11	186	1370
12	189	1268
13	192	1181
14	195	1106
15	198	1041
16	201	984
17	204	933
18	208	889
19	211	847
20	214	808
21	217	772
22	221	739
23	223	708
24	226	679
25	229	653
26	232	628
27	235	605
28	238	583
29	240	562
30	243	542
31	246	524
32	249	507
33	252	490
34	255	474
35	258	459
36	261	444
37	264	431
38	267	419
39	270	406
40	274	394
41	277	382
42	280	371
43	283	360
44	286	350
45	289	339
46	293	330
47	296	321
48	299	311
49	302	302
50	305	293
51	308	284
52	311	276
53	314	268
54	317	259
55	320	252
56	323	244
57	327	236
58	329	229
59	333	222
60	336	214
61	339	207
62	342	200
63	345	194
64	348	187
65	352	181
66	355	174
67	357	168
68	360	162
69	364	156
70	367	150
71	370	144
72	374	138
73	378	132
74	384	128
75	390	123
76	395	118
77	404	114
78	408	108
79	411	102
80	414	97
81	418	91
82	421	86
83	424	80
84	427	75
85	430	70
86	434	64
87	438	59
88	441	54
89	444	49
90	447	44
91	451	39
92	454	34
93	457	29
94	459	24
95	463	19
96	468	14
97	471	9
98	474	4
99	477	0
